Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,External IP
99119,1592,8080,1598,4857,6,56,79,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,151898,25316,79.0,0.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,12658.22785,12658.22785,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot,0.0
3700,845,36200,1601,80,6,40,43,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46511,43.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,23255.81395,23255.81395,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,258,235,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack - Sql Injection,0.0
177145,1546,54119,2293,444,6,94,119992821,2252,2250,929308.0,13500.0,1272.0,6.0,412.6589698,304.9632397,6.0,6.0,6.0,0.0,7857,37,26659.14708,478609.8093,30300000.0,1.0,120000000.0,53306.45091,676742.9543,30300000.0,113.0,120000000.0,53339.03112,676148.0116,30300000.0,476.0,0,0,0,0,45040,45000,18.76778945,18.75112179,6.0,1272.0,209.3746391,296.4006569,87853.3494,0,0,0,0,1,0,0,0,0.0,209.4211462,412.6589698,6.0,0,0,0,0,0,0,2252,929308,2250,13500,3294,3294,2251,20,34300000.0,11400000.0,42400000.0,26200000.0,19400000.0,15500000.0,30300000.0,8400626.0,Infiltration,0.0
23259,1541,48056,2610,80,6,44,83508399,8,5,415.0,11595.0,409.0,0.0,51.875,144.3155645,5792.0,0.0,2319.0,2423.629716,143,0,6959033.25,24100000.0,83400000.0,1.0,83400000.0,11900000.0,31500000.0,83400000.0,1.0,124681.0,31170.25,54408.82249,112357.0,168.0,0,0,0,0,252,168,0.095798747,0.059874217,0.0,5792.0,857.8571429,1759.571226,3096090.901,0,0,0,0,1,0,0,0,0.0,923.8461538,51.875,2319.0,0,0,0,0,0,0,8,415,5,11595,274,235,2,20,1974.0,0.0,1974.0,1974.0,83400000.0,0.0,83400000.0,83400000.0,DoS Hulk,0.0
3931,845,41948,1601,80,6,230,5076689,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1692229.667,2930395.571,5075959.0,143.0,5076689.0,2538344.5,3588728.842,5075959.0,730.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.590936337,0.196978779,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack - Brute Force,0.0
11441,1495,51084,2560,22,6,298,12169636,19,31,2008.0,2745.0,640.0,0.0,105.6842105,143.7671932,976.0,0.0,88.5483871,223.315,390,4,248359.9184,646524.2295,2200205.0,3.0,9927420.0,551523.3333,903141.5201,2164211.0,273.0,12200000.0,405651.8,791170.0356,2200205.0,3.0,0,0,0,0,616,1000,1.561262802,2.547323519,0.0,976.0,93.19607843,193.9302988,37608.96078,0,0,0,1,0,0,0,0,1.0,95.06,105.6842105,88.5483871,0,0,0,0,0,0,19,2008,31,2745,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator,0.0
37937,426,56711,867,80,6,41,2039028,4,0,24.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,11,1,679676.0,1176521.503,2038206.0,251.0,2039028.0,679676.0,1176521.503,2038206.0,251.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,1.961719015,0.0,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,7.5,6.0,0.0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS,0.0
15946,1541,33430,2610,80,6,15,109852751,4,3,532.0,0.0,520.0,0.0,133.0,258.0620081,0.0,0.0,0.0,0.0,4,0,18300000.0,44800000.0,110000000.0,16.0,110000000.0,36600000.0,63400000.0,110000000.0,622.0,110000000.0,54900000.0,77700000.0,110000000.0,5247.0,0,0,0,0,136,104,0.036412379,0.027309284,0.0,520.0,66.5,183.2897784,33595.14286,0,0,0,1,0,0,0,0,0.0,76.0,133.0,0.0,0,0,0,0,0,0,4,532,3,0,29200,235,2,32,5263.0,0.0,5263.0,5263.0,110000000.0,0.0,110000000.0,110000000.0,DoS Slowhttptest,0.0
5058,845,57076,1601,80,6,23,5365520,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1788506.667,3097026.661,5364645.0,111.0,5365520.0,2682760.0,3792758.14,5364645.0,875.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.559125677,0.186375226,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack - XSS,0.0
120848,769,54766,1409,12345,6,114,27,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,222222,74074,27.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,37037.03704,37037.03704,0.0,6.0,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.0
12403,1495,52820,2560,21,6,452,1,2,0,14.0,0.0,14.0,0.0,7.0,9.899494937,0.0,0.0,0.0,0.0,14000000,2000000,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,2000000.0,0.0,0.0,14.0,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0.0,14.0,7.0,0.0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,0.0
31989,1541,45022,2611,444,6,326,119257653,2802,2067,20858.0,7812389.0,5792.0,0.0,7.443968594,126.0458111,13032.0,0.0,3779.578616,2380.312566,65683,40,24498.28533,153803.6224,1995346.0,-1.0,119000000.0,42576.80079,201441.2784,1996118.0,0.0,119000000.0,57723.92982,233324.7174,1995346.0,1.0,0,0,0,0,89664,66144,23.49534751,17.33222102,0.0,13032.0,1609.658932,2427.561637,5893055.501,0,0,0,0,1,0,0,0,0.0,1609.989526,7.443968594,3779.578616,0,0,0,0,0,0,2802,20858,2067,7812389,235,349,123,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heartbleed,0.0
15212,1495,58478,2560,21,6,7,8991068,9,15,108.0,188.0,23.0,0.0,12.0,9.656603958,34.0,0.0,12.53333333,14.54975045,32,2,390916.0,1004840.812,3131239.0,3.0,5991989.0,748998.625,1363325.301,3174282.0,257.0,8990970.0,642212.1429,1238934.066,3131239.0,3.0,0,0,0,0,296,488,1.00099343,1.668322384,0.0,34.0,11.84,12.67767066,160.7233333,0,0,0,1,0,0,0,0,1.0,12.33333333,12.0,12.53333333,0,0,0,0,0,0,9,108,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,0.0
